category,name,area,address,maps_link,delivery_apps,zomato_search,swiggy_search,rating,reviews,lat,lon,place_id
bakeries,ADIBA BAKERY,area1,India,https://www.google.com/maps/place/?q=place_id:ChIJByI3nymUyzsRB2-691TL1og,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=ADIBA%20BAKERY,https://www.swiggy.com/search?query=ADIBA%20BAKERY,,,17.382486,78.381699,ChIJByI3nymUyzsRB2-691TL1og
bakeries,BAKEHOUSE,area1,"SVM 1 Apartment, opp. Shivasai Nagar, Colony, Bairagiguda",https://www.google.com/maps/place/?q=place_id:ChIJxdpkZlyVyzsR0wCl41qSQB8,Possibly listed - verify via Zomato/Swiggy search links,https://www.zomato.com/hyderabad/restaurants?q=BAKEHOUSE,https://www.swiggy.com/search?query=BAKEHOUSE,4,31,17.370251,78.375015,ChIJxdpkZlyVyzsR0wCl41qSQB8
bakeries,BANGLORE BAKERY,area1,"997R+RJR, Hydershakote Village Road, Laxmi Nagar Colony, Bhagya Nagar Colony, Hydershakote",https://www.google.com/maps/place/?q=place_id:ChIJGcB_c3qWyzsRw7GRDR_pM4w,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=BANGLORE%20BAKERY,https://www.swiggy.com/search?query=BANGLORE%20BAKERY,,,17.364617,78.391505,ChIJGcB_c3qWyzsRw7GRDR_pM4w
bakeries,Bready Good,area1,"INDIS PBEL CITY, near TSPA, K 910, Hydershakote, Peeramcheru",https://www.google.com/maps/place/?q=place_id:ChIJOQXR3cCVyzsRWPUqqzdO6pg,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Bready%20Good,https://www.swiggy.com/search?query=Bready%20Good,,,17.359476,78.372134,ChIJOQXR3cCVyzsRWPUqqzdO6pg
bakeries,Brown Bear Bakers - Sun City,area1,"near Reliance Fresh, Plot No.73, Ground Floor, Shivam Arcade, Hydershakote, near Reliance Fresh, Bandlaguda Jagir",https://www.google.com/maps/place/?q=place_id:ChIJUZUCtOCXyzsRrj1Q9eEXDu4,Possibly on Zomato/Swiggy (100+ Google reviews) - verify,https://www.zomato.com/hyderabad/restaurants?q=Brown%20Bear%20Bakers%20-%20Sun%20City,https://www.swiggy.com/search?query=Brown%20Bear%20Bakers%20-%20Sun%20City,4,319,17.3649,78.395473,ChIJUZUCtOCXyzsRrj1Q9eEXDu4
bakeries,Cake Craves,area1,"Flat No- 402, 4th Floor, Mythri Aavaas, opposite Ladlay School Of Excellence, Shivapuri Layout, Bairagiguda",https://www.google.com/maps/place/?q=place_id:ChIJa6mCIw6VyzsRZkl1rYCif5M,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Cake%20Craves,https://www.swiggy.com/search?query=Cake%20Craves,5,10,17.371013,78.374617,ChIJa6mCIw6VyzsRZkl1rYCif5M
bakeries,Cake Stories by Madhavi,area1,"West End Colony, Bandlaguda Jagir",https://www.google.com/maps/place/?q=place_id:ChIJM9jU0mSTyzsRaYLJW6-8IiY,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Cake%20Stories%20by%20Madhavi,https://www.swiggy.com/search?query=Cake%20Stories%20by%20Madhavi,5,15,17.360352,78.384836,ChIJM9jU0mSTyzsRaYLJW6-8IiY
bakeries,CAKE.COM,area1,"opposite Jai bhavani hardware, 9-36/3 Hydershakote, opposite Jai bhavani hardware, jagur, rajendranagar, Bandlaguda Jagir",https://www.google.com/maps/place/?q=place_id:ChIJDf_14f2XyzsR5OiienEOVSo,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=CAKE.COM,https://www.swiggy.com/search?query=CAKE.COM,4.3,12,17.368804,78.393776,ChIJDf_14f2XyzsR5OiienEOVSo
bakeries,cakes and cupcakes Hyd,area1,Bandlaguda Jagir,https://www.google.com/maps/place/?q=place_id:ChIJd5Kdzt6XyzsR4yjg_BQBeHA,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=cakes%20and%20cupcakes%20Hyd,https://www.swiggy.com/search?query=cakes%20and%20cupcakes%20Hyd,4.9,22,17.37005,78.398555,ChIJd5Kdzt6XyzsR4yjg_BQBeHA
bakeries,CHANDU BAKERIES,area1,Hyderabad,https://www.google.com/maps/place/?q=place_id:ChIJM8xekm6XyzsRVJTTZb_V_Ow,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=CHANDU%20BAKERIES,https://www.swiggy.com/search?query=CHANDU%20BAKERIES,5,2,17.368848,78.394469,ChIJM8xekm6XyzsRVJTTZb_V_Ow
bakeries,Chatori chaats and bakery,area1,"998W+54G, Hydershakote",https://www.google.com/maps/place/?q=place_id:ChIJyfwHZGmXyzsRTlGfS2PnnTc,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Chatori%20chaats%20and%20bakery,https://www.swiggy.com/search?query=Chatori%20chaats%20and%20bakery,5,1,17.365444,78.395316,ChIJyfwHZGmXyzsRTlGfS2PnnTc
bakeries,Chicken Shawarmas Point,area1,"near SMP School, 19-2/886, Sun City, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJK_ocCPiXyzsRBFPo-3O0BTQ,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Chicken%20Shawarmas%20Point,https://www.swiggy.com/search?query=Chicken%20Shawarmas%20Point,5,3,17.368559,78.395674,ChIJK_ocCPiXyzsRBFPo-3O0BTQ
bakeries,Deepak,area1,"INDIS PBEL City, Lakeside, Peeramcheru",https://www.google.com/maps/place/?q=place_id:ChIJIXwfZQCVyzsRLDjk5jeAWIw,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Deepak,https://www.swiggy.com/search?query=Deepak,,,17.357875,78.37255,ChIJIXwfZQCVyzsRLDjk5jeAWIw
bakeries,Diamond bakers,area1,"99FV+8FW, Ramdev Guda, Ibrahim Bagh, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJMVjqZQCXyzsR--buOSJRAoA,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Diamond%20bakers,https://www.swiggy.com/search?query=Diamond%20bakers,,,17.373421,78.393628,ChIJMVjqZQCXyzsR--buOSJRAoA
bakeries,Dough Re Mi - Eggless Cakes N Bakes,area1,"H 901, Pbel City, peerancheruvu, Bandlaguda Jagir",https://www.google.com/maps/place/?q=place_id:ChIJ21RXP96VyzsRlZ4tvY2Os78,Possibly listed - verify via Zomato/Swiggy search links,https://www.zomato.com/hyderabad/restaurants?q=Dough%20Re%20Mi%20-%20Eggless%20Cakes%20N%20Bakes,https://www.swiggy.com/search?query=Dough%20Re%20Mi%20-%20Eggless%20Cakes%20N%20Bakes,4.9,34,17.359476,78.372134,ChIJ21RXP96VyzsRlZ4tvY2Os78
bakeries,Feelings&Flavours,area1,"Villa-21, LIBDOM VILLAS, Eidgah Road, Gandamguda",https://www.google.com/maps/place/?q=place_id:ChIJIdXuwL6VyzsROyJ_HPIG7LQ,Possibly on Zomato/Swiggy (100+ Google reviews) - verify,https://www.zomato.com/hyderabad/restaurants?q=Feelings%26Flavours,https://www.swiggy.com/search?query=Feelings%26Flavours,5,115,17.359701,78.382942,ChIJIdXuwL6VyzsROyJ_HPIG7LQ
bakeries,GOLDEN BAKERY,area1,Bandlaguda Jagir,https://www.google.com/maps/place/?q=place_id:ChIJWagJgLmXyzsRjq0QcVvmA6Q,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=GOLDEN%20BAKERY,https://www.swiggy.com/search?query=GOLDEN%20BAKERY,,,17.359759,78.387256,ChIJWagJgLmXyzsRjq0QcVvmA6Q
bakeries,Home new,area1,"999H+6JC, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJ37NYQgCVyzsRnAOO9Giz0kg,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Home%20new,https://www.swiggy.com/search?query=Home%20new,,,17.367997,78.379008,ChIJ37NYQgCVyzsRnAOO9Giz0kg
bakeries,Hot chips,area1,"999V+CXC, Kapila Nagar Colony, Bandlaguda Jagir",https://www.google.com/maps/place/?q=place_id:ChIJJ31RIQCXyzsR-xUkN8x6sRU,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Hot%20chips,https://www.swiggy.com/search?query=Hot%20chips,5,1,17.368593,78.394747,ChIJJ31RIQCXyzsR-xUkN8x6sRU
bakeries,Jwala swagruha foods kitchen,area1,"Plot no 32 Kapilnagar, Bhagya Nagar Colony, Hydershakote",https://www.google.com/maps/place/?q=place_id:ChIJl6jjjbqXyzsRtCrJpz3b1Og,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Jwala%20swagruha%20foods%20kitchen,https://www.swiggy.com/search?query=Jwala%20swagruha%20foods%20kitchen,,,17.361103,78.389172,ChIJl6jjjbqXyzsRtCrJpz3b1Og
bakeries,mehtab,area1,"Villa-84, EMPIRE INSIGNIA, 84, Indra Reddy Nagar, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJ8xC3VwCVyzsRXVARGolKjWk,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=mehtab,https://www.swiggy.com/search?query=mehtab,,,17.357886,78.374371,ChIJ8xC3VwCVyzsRXVARGolKjWk
bakeries,Mysore bakery,area1,"100, Himgiry Nagar Colony Road, Himagiri Nagar, Shanthinagar Colony, Hydershakote",https://www.google.com/maps/place/?q=place_id:ChIJi-TKzWiXyzsRAbEmDvnqXLI,Possibly on Zomato/Swiggy (100+ Google reviews) - verify,https://www.zomato.com/hyderabad/restaurants?q=Mysore%20bakery,https://www.swiggy.com/search?query=Mysore%20bakery,3.8,113,17.361798,78.389579,ChIJi-TKzWiXyzsRAbEmDvnqXLI
bakeries,Nandini Bangalore Bakery,area1,"Plot no 3, Himgiry Nagar Colony Road, Hyder Shah Kote, Bandlaguda Jagir",https://www.google.com/maps/place/?q=place_id:ChIJcRCz3qyXyzsREhIGHPVgd6I,Possibly on Zomato/Swiggy (100+ Google reviews) - verify,https://www.zomato.com/hyderabad/restaurants?q=Nandini%20Bangalore%20Bakery,https://www.swiggy.com/search?query=Nandini%20Bangalore%20Bakery,4.2,490,17.360692,78.388755,ChIJcRCz3qyXyzsREhIGHPVgd6I
bakeries,Nandini Bangalore Bakery,area1,"near KENDRIYA VIHAR PHASE 3, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJ2Z34ws2XyzsRDpi7-HudD-M,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Nandini%20Bangalore%20Bakery,https://www.swiggy.com/search?query=Nandini%20Bangalore%20Bakery,4.7,17,17.368611,78.394301,ChIJ2Z34ws2XyzsRDpi7-HudD-M
bakeries,New Golden Bakery,area1,"996G+4V7, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJycUMfQCVyzsReYqkEYM9T4s,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=New%20Golden%20Bakery,https://www.swiggy.com/search?query=New%20Golden%20Bakery,5,2,17.360277,78.377171,ChIJycUMfQCVyzsReYqkEYM9T4s
bakeries,Nikita's Bakehouse Healthy Cookies,area1,"Gurukrupa Nivas, Sri chaitanya international school Backside of Srinidhi International School, Shanti Nagar Road, Hydershakote, suncity",https://www.google.com/maps/place/?q=place_id:ChIJl_HS-WCXyzsRYSM-JUH6Eqg,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Nikita%27s%20Bakehouse%20Healthy%20Cookies,https://www.swiggy.com/search?query=Nikita%27s%20Bakehouse%20Healthy%20Cookies,5,3,17.364645,78.390992,ChIJl_HS-WCXyzsRYSM-JUH6Eqg
bakeries,Payal's Cake Studio,area1,"GIRIDHARI EXECUTIVE PARK, near Kali Mata Temple, Peeramcheru",https://www.google.com/maps/place/?q=place_id:ChIJbTj_NGKVyzsRs5vIhBQZUEY,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Payal%27s%20Cake%20Studio,https://www.swiggy.com/search?query=Payal%27s%20Cake%20Studio,5,20,17.360782,78.374628,ChIJbTj_NGKVyzsRs5vIhBQZUEY
bakeries,Ramsagar,area1,"adress in compound Nagendra's Home, Sai Valmiki Nagar, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJSeIzBACVyzsRd7S7PQHMQuQ,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Ramsagar,https://www.swiggy.com/search?query=Ramsagar,,,17.370442,78.371727,ChIJSeIzBACVyzsRd7S7PQHMQuQ
bakeries,Sandeep,area1,"995P+QQM, Santosh Nagar, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJIfviegCXyzsRq2M9vWpcNb8,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Sandeep,https://www.swiggy.com/search?query=Sandeep,5,1,17.359475,78.38693,ChIJIfviegCXyzsRq2M9vWpcNb8
bakeries,SHYAM SUNDER GUPTA 2,area1,"Sun City, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJkQ4rkIeXyzsR5mkRZ6VOwiw,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=SHYAM%20SUNDER%20GUPTA%202,https://www.swiggy.com/search?query=SHYAM%20SUNDER%20GUPTA%202,5,3,17.365257,78.396094,ChIJkQ4rkIeXyzsR5mkRZ6VOwiw
bakeries,SmilesandCakes,area1,"INDIS PBEL CITY, Peeramcheru",https://www.google.com/maps/place/?q=place_id:ChIJY10FdRiVyzsRvyvJDXxBzN8,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=SmilesandCakes,https://www.swiggy.com/search?query=SmilesandCakes,5,14,17.359476,78.372134,ChIJY10FdRiVyzsRvyvJDXxBzN8
bakeries,Sonali Bake House,area1,"GIRIDHARI EXECUTIVE PARK, near Kali Mata Temple, Bandlaguda Jagir",https://www.google.com/maps/place/?q=place_id:ChIJFS_p7dWVyzsRrhE5P-buz1k,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Sonali%20Bake%20House,https://www.swiggy.com/search?query=Sonali%20Bake%20House,5,1,17.360782,78.374628,ChIJFS_p7dWVyzsRrhE5P-buz1k
