# BAKERIES inside My Map circle (area1–area5)
# total=516
# columns: name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
# delivery_apps: known chains / meal_delivery / review heuristics; always verify via zomato_search & swiggy_search

name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
ADIBA BAKERY	area1	India	https://www.google.com/maps/place/?q=place_id:ChIJByI3nymUyzsRB2-691TL1og	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=ADIBA%20BAKERY	https://www.swiggy.com/search?query=ADIBA%20BAKERY		
BAKEHOUSE	area1	SVM 1 Apartment, opp. Shivasai Nagar, Colony, Bairagiguda	https://www.google.com/maps/place/?q=place_id:ChIJxdpkZlyVyzsR0wCl41qSQB8	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=BAKEHOUSE	https://www.swiggy.com/search?query=BAKEHOUSE	4	31
BANGLORE BAKERY	area1	997R+RJR, Hydershakote Village Road, Laxmi Nagar Colony, Bhagya Nagar Colony, Hydershakote	https://www.google.com/maps/place/?q=place_id:ChIJGcB_c3qWyzsRw7GRDR_pM4w	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=BANGLORE%20BAKERY	https://www.swiggy.com/search?query=BANGLORE%20BAKERY		
Bready Good	area1	INDIS PBEL CITY, near TSPA, K 910, Hydershakote, Peeramcheru	https://www.google.com/maps/place/?q=place_id:ChIJOQXR3cCVyzsRWPUqqzdO6pg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Bready%20Good	https://www.swiggy.com/search?query=Bready%20Good		
Brown Bear Bakers - Sun City	area1	near Reliance Fresh, Plot No.73, Ground Floor, Shivam Arcade, Hydershakote, near Reliance Fresh, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJUZUCtOCXyzsRrj1Q9eEXDu4	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=Brown%20Bear%20Bakers%20-%20Sun%20City	https://www.swiggy.com/search?query=Brown%20Bear%20Bakers%20-%20Sun%20City	4	319
Cake Craves	area1	Flat No- 402, 4th Floor, Mythri Aavaas, opposite Ladlay School Of Excellence, Shivapuri Layout, Bairagiguda	https://www.google.com/maps/place/?q=place_id:ChIJa6mCIw6VyzsRZkl1rYCif5M	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Cake%20Craves	https://www.swiggy.com/search?query=Cake%20Craves	5	10
Cake Stories by Madhavi	area1	West End Colony, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJM9jU0mSTyzsRaYLJW6-8IiY	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Cake%20Stories%20by%20Madhavi	https://www.swiggy.com/search?query=Cake%20Stories%20by%20Madhavi	5	15
CAKE.COM	area1	opposite Jai bhavani hardware, 9-36/3 Hydershakote, opposite Jai bhavani hardware, jagur, rajendranagar, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJDf_14f2XyzsR5OiienEOVSo	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=CAKE.COM	https://www.swiggy.com/search?query=CAKE.COM	4.3	12
cakes and cupcakes Hyd	area1	Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJd5Kdzt6XyzsR4yjg_BQBeHA	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=cakes%20and%20cupcakes%20Hyd	https://www.swiggy.com/search?query=cakes%20and%20cupcakes%20Hyd	4.9	22
CHANDU BAKERIES	area1	Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJM8xekm6XyzsRVJTTZb_V_Ow	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=CHANDU%20BAKERIES	https://www.swiggy.com/search?query=CHANDU%20BAKERIES	5	2
