# FASTFOODS inside My Map circle (area1–area5)
# total=264
# columns: name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
# delivery_apps: known chains / meal_delivery / review heuristics; always verify via zomato_search & swiggy_search

name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
Agk Fast Food	area1	H No:9-25, Gandhamguda Road, Peddammagudi Colony, Hydershakote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ49SH4nuWyzsRQR0_odnlhCs	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Agk%20Fast%20Food	https://www.swiggy.com/search?query=Agk%20Fast%20Food	5	1
Amma Food Court	area1	996Q+8H6, Himgiry Nagar Colony Road, Himagiri Nagar, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJPe4aGXeWyzsR3rvBkxEbd0w	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Amma%20Food%20Court	https://www.swiggy.com/search?query=Amma%20Food%20Court	3.3	3
BHEEMA FAST FOOD CENTER	area1	Osman Sagar Road, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJc9LwkNyXyzsRKfHHDAhdM0M	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=BHEEMA%20FAST%20FOOD%20CENTER	https://www.swiggy.com/search?query=BHEEMA%20FAST%20FOOD%20CENTER		
Burger King	area1	Sy No 68, Vantage Line, SN G7 & 106, Gr & 1st Flr, near Ara Maisamma Temple, &, 69 Gandipet, Gandipet	https://www.google.com/maps/place/?q=place_id:ChIJ_9-65wKVyzsRY6nckCuBL_U	Likely on Zomato+Swiggy (known chain)	https://www.zomato.com/hyderabad/restaurants?q=Burger%20King	https://www.swiggy.com/search?query=Burger%20King	4.7	1104
Deepak Samosa Corner	area1	996R+V24, Hyder Shah Kote, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJnxbAWACXyzsRgv5Ss-udXKQ	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Deepak%20Samosa%20Corner	https://www.swiggy.com/search?query=Deepak%20Samosa%20Corner	4	1
Dmart Pizza	area1	995P+RFX, Chevella Road, Westend Colony, Peeramcheru	https://www.google.com/maps/place/?q=place_id:ChIJn6hZPgCXyzsRYzLTxKEzT4A	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Dmart%20Pizza	https://www.swiggy.com/search?query=Dmart%20Pizza	4.4	5
Domino's Pizza | Sun City, Hyderabad	area1	Ground Floor, Door No 7, 3/5, 100 Feet Road, Hyder Shah Kote, Sun City, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ_T3MU2WWyzsRflsM6zu2fK0	Likely on Zomato+Swiggy (known chain)	https://www.zomato.com/hyderabad/restaurants?q=Domino%27s%20Pizza%20%7C%20Sun%20City%2C%20Hyderabad	https://www.swiggy.com/search?query=Domino%27s%20Pizza%20%7C%20Sun%20City%2C%20Hyderabad	3.6	2386
Everest DURGA tasty Fast Food	area1	nr. KENDRIYA VIHAR, 91, Gandhamguda Road, phase3, Madhavi Nagar, Hydershakote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ0xdDlHuWyzsReq-TIPCpU38	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Everest%20DURGA%20tasty%20Fast%20Food	https://www.swiggy.com/search?query=Everest%20DURGA%20tasty%20Fast%20Food	4.4	5
Grameena Home Foods	area1	SVM ONE, opp. Shivasai Nagar, Bairagiguda	https://www.google.com/maps/place/?q=place_id:ChIJLWfGNUKVyzsRO5wwt3ExRNI	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Grameena%20Home%20Foods	https://www.swiggy.com/search?query=Grameena%20Home%20Foods	2	1
Joy Fast Food Center	area1	India	https://www.google.com/maps/place/?q=place_id:ChIJkXK8RtyVyzsR7TNqKNQlBtM	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Joy%20Fast%20Food%20Center	https://www.swiggy.com/search?query=Joy%20Fast%20Food%20Center	4.3	3
Lucky Fast Food Center	area1	India	https://www.google.com/maps/place/?q=place_id:ChIJvwiBuneWyzsRBqNRfQX7Xls	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Lucky%20Fast%20Food%20Center	https://www.swiggy.com/search?query=Lucky%20Fast%20Food%20Center	5	1
Mahalaxmi Fast Food Center	area1	997R+PH4, Hydershakote Village Road, Laxmi Nagar Colony, Shanthinagar Colony, Madhavi Nagar, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJ67bdn3CWyzsRBWArD7TDWiI	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Mahalaxmi%20Fast%20Food%20Center	https://www.swiggy.com/search?query=Mahalaxmi%20Fast%20Food%20Center		
Momo Feast	area1	PBEL City Road, JNNURM Colony, Peeramcheru	https://www.google.com/maps/place/?q=place_id:ChIJZ-LnQQCVyzsR9LBqsx9NCmg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Momo%20Feast	https://www.swiggy.com/search?query=Momo%20Feast	5	11
Peri Peri Pizza	area1	near SMP School, 19-2/886, Kapila Nagar Colony, Sun City, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJca3cMwCXyzsRflI1DU7B7YU	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Peri%20Peri%20Pizza	https://www.swiggy.com/search?query=Peri%20Peri%20Pizza	4.8	11
ShaSha Shandaar Shawarma	area1	13-1/20/47/1, Westend colony, Gandhamguda, Himagiri Nagar, West End Colony, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJbe3oLHiXyzsR0f1w6KrKyTg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=ShaSha%20Shandaar%20Shawarma	https://www.swiggy.com/search?query=ShaSha%20Shandaar%20Shawarma	3.9	10
SNS Delight Foods - Home made Snacks & Desserts	area1	beside Hanuman Temple, Plot no. 50, Kapila Nagar, Hydershakote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJcV8T4-GXyzsRqydaWPufICo	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=SNS%20Delight%20Foods%20-%20Home%20made%20Snacks%20%26%20Desserts	https://www.swiggy.com/search?query=SNS%20Delight%20Foods%20-%20Home%20made%20Snacks%20%26%20Desserts	5	5
SRI DURGA FAST FOOD CENTER	area1	India	https://www.google.com/maps/place/?q=place_id:ChIJr5lNLH2WyzsR5L9wAPP2rmA	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=SRI%20DURGA%20FAST%20FOOD%20CENTER	https://www.swiggy.com/search?query=SRI%20DURGA%20FAST%20FOOD%20CENTER		
SS Crispy Chicken	area1	Vishal Mega Mart, Near, Kalimandir Main Road, Westend Colony, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJySbDjAiXyzsRGMegIBQUea4	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=SS%20Crispy%20Chicken	https://www.swiggy.com/search?query=SS%20Crispy%20Chicken	4.9	51
Starbucks - Sai Baba Nagar	area1	Shop No 9, Ground Floor, Vantage Line, Bandlaguda Jagir Road, Sai Baba Nagar, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJt-jaOgCVyzsRzeHRzxOEJYk	Likely on Zomato+Swiggy (known chain)	https://www.zomato.com/hyderabad/restaurants?q=Starbucks%20-%20Sai%20Baba%20Nagar	https://www.swiggy.com/search?query=Starbucks%20-%20Sai%20Baba%20Nagar	4.8	416
The Red Tomato	area1	Unnamed Road, Peeramcheru	https://www.google.com/maps/place/?q=place_id:ChIJ0fGoCFiVyzsRF5QUbogPY1o	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=The%20Red%20Tomato	https://www.swiggy.com/search?query=The%20Red%20Tomato	4.8	25
Vistazo Frozen Foods	area1	Bairagiguda	https://www.google.com/maps/place/?q=place_id:ChIJAQAAENKVyzsRoyLZL2KCE-E	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Vistazo%20Frozen%20Foods	https://www.swiggy.com/search?query=Vistazo%20Frozen%20Foods		
Wingstop	area1	Suncity Road, Sun City, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJZyF8KQCXyzsRaIfpGcj9sOo	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Wingstop	https://www.swiggy.com/search?query=Wingstop	2	1
5 Star Fast Food	area2	1-1-128/6/1, Bansilal Nagar, Budwel	https://www.google.com/maps/place/?q=place_id:ChIJ3Y4I1yGXyzsRYPTUZfqcPxY	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=5%20Star%20Fast%20Food	https://www.swiggy.com/search?query=5%20Star%20Fast%20Food		
AA SPICY Chinese fast food	area2	89QQ+94P, Saibaba Nagar, Kismatpur	https://www.google.com/maps/place/?q=place_id:ChIJO_GmBgCXyzsRT3ewVjVQUf8	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=AA%20SPICY%20Chinese%20fast%20food	https://www.swiggy.com/search?query=AA%20SPICY%20Chinese%20fast%20food	5	3
AJ FAST FOOD CENTER	area2	India	https://www.google.com/maps/place/?q=place_id:ChIJMSHb7SGWyzsRy4x87at0Sb0	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=AJ%20FAST%20FOOD%20CENTER	https://www.swiggy.com/search?query=AJ%20FAST%20FOOD%20CENTER		
Burger trails	area2	Pillar No. 194, HER Apartment, Rajendra Nagar Road, Ashok Vihar Colony, Upperpally	https://www.google.com/maps/place/?q=place_id:ChIJEXXqxmCXyzsRNrTZeX_LQFE	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=Burger%20trails	https://www.swiggy.com/search?query=Burger%20trails	4.5	67
CRISPY HUB	area2	P&T Colony, Hyder Shah Kote, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJPf7r_5OZyzsRyNgZGWgCagc	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=CRISPY%20HUB	https://www.swiggy.com/search?query=CRISPY%20HUB	4.2	266
