# RESTAURANTS inside My Map circle (area1–area5)
# total=1769
# columns: name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
# delivery_apps: known chains / meal_delivery / review heuristics; always verify via zomato_search & swiggy_search

name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
3C Foodies Den	area1	998W+268, beside More Super Market, Sun City	https://www.google.com/maps/place/?q=place_id:ChIJGQPWrHqWyzsR0hgTK6pbD1k	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=3C%20Foodies%20Den	https://www.swiggy.com/search?query=3C%20Foodies%20Den	4	19
A.R. Currys And Snacks	area1	999R+J2Q, Gandhamguda Road, Srinivasa Nagar Colony, Hyderabad Shah Guda, Gandamguda	https://www.google.com/maps/place/?q=place_id:ChIJ878G43uWyzsR72VWqcEzzPA	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=A.R.%20Currys%20And%20Snacks	https://www.swiggy.com/search?query=A.R.%20Currys%20And%20Snacks		
Aadhya’s cravings corner	area1	Chandraiah nagar colony, beside reliance’s digital lane, opp. to Sri Manjunatha car workshop, I, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJS_Uve1GVyzsR9A5SNGogOdg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Aadhya%E2%80%99s%20cravings%20corner	https://www.swiggy.com/search?query=Aadhya%E2%80%99s%20cravings%20corner	5	1
Aavuraavuru	area1	Hydershahkote, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJP2dBSHeXyzsRKd_9zSkl-OY	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Aavuraavuru	https://www.swiggy.com/search?query=Aavuraavuru		
Aenugu the Telugu Cuisine	area1	Sy no. 68, Vantage Line Mall, 2nd floor, A & 69/P, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJKaA22zuVyzsRO-pxZGH7r1Q	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Aenugu%20the%20Telugu%20Cuisine	https://www.swiggy.com/search?query=Aenugu%20the%20Telugu%20Cuisine		
AL HABZA CHICKEN SHOP	area1	PBEL City Road, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJv83Fyv-VyzsR1LHD0bYTrYg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=AL%20HABZA%20CHICKEN%20SHOP	https://www.swiggy.com/search?query=AL%20HABZA%20CHICKEN%20SHOP		
AMRUTHA TIFINS	area1	Kapila Nagar, Sun City, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJe_UOXpuXyzsRZaS9AerRK2E	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=AMRUTHA%20TIFINS	https://www.swiggy.com/search?query=AMRUTHA%20TIFINS	5	1
ANNAPURNA SANTHI BHOJANALAY	area1	Sun City, Srinivasa Nagar Colony, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJGStnUACVyzsRNx7ikOs9liI	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=ANNAPURNA%20SANTHI%20BHOJANALAY	https://www.swiggy.com/search?query=ANNAPURNA%20SANTHI%20BHOJANALAY	5	3
Aramaisamma Curry Point	area1	9949+RVJ, JNNURM Colony, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJjwCneMSVyzsRSRMRMiigFfI	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Aramaisamma%20Curry%20Point	https://www.swiggy.com/search?query=Aramaisamma%20Curry%20Point	5	1
Aroma Multi Cuisine Restaurant	area1	Shop No132/1, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJS6o6-H-XyzsRl8KKiTjejGk	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Aroma%20Multi%20Cuisine%20Restaurant	https://www.swiggy.com/search?query=Aroma%20Multi%20Cuisine%20Restaurant		
Aru's Kitchen	area1	Plot no, 18, Street Number 1, Hydershakote	https://www.google.com/maps/place/?q=place_id:ChIJc39l9B6VyzsR6lqLVe8h3Es	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Aru%27s%20Kitchen	https://www.swiggy.com/search?query=Aru%27s%20Kitchen	4.2	28
Arunodaya Nilayam	area1	H No: 4, Rakesh Vuppala, 9/76, Road Number 4, Himagiri Nagar, Sun City, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJceUF3bOXyzsRm1dPZCg174w	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Arunodaya%20Nilayam	https://www.swiggy.com/search?query=Arunodaya%20Nilayam	4.8	13
ATITHI RESTAURANT	area1	Shop No 34/1, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJtxKYIA-XyzsRFDQiz0h-LVw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=ATITHI%20RESTAURANT	https://www.swiggy.com/search?query=ATITHI%20RESTAURANT		
BAITHAK chai n chill	area1	Hydershakote, Gandamguda	https://www.google.com/maps/place/?q=place_id:ChIJBeq8VQCVyzsRPlHn4GDy-Fw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=BAITHAK%20chai%20n%20chill	https://www.swiggy.com/search?query=BAITHAK%20chai%20n%20chill	5	8
Bandlaguda	area1	996R+X48, Hydershakote Village Road, Shanthinagar Colony, Raghuram Nagar Colony, Hydershakote, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJz4hhAgCXyzsRNUyTs7sRXk4	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Bandlaguda	https://www.swiggy.com/search?query=Bandlaguda		
Biryani Dibba	area1	Kalimandir, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJm9_lSwCVyzsRtdcQAxgkmVw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Biryani%20Dibba	https://www.swiggy.com/search?query=Biryani%20Dibba		
Biryani Ustad Suncity	area1	Hydershakot, Road, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ4YxI9WWXyzsRIiiXulryRyY	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=Biryani%20Ustad%20Suncity	https://www.swiggy.com/search?query=Biryani%20Ustad%20Suncity	4.2	41
Bring Your Own Cup Café	area1	INDIS PBEL CITY, N-1109, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJmTjuwFCVyzsROL2M5u9LOi8	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Bring%20Your%20Own%20Cup%20Caf%C3%A9	https://www.swiggy.com/search?query=Bring%20Your%20Own%20Cup%20Caf%C3%A9	5	4
Chaat On Wheels	area1	3, Sowmya Nikunj Apartments, Madhavi Nagar, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJVVVRBHuWyzsRQX3mlVfRcZw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Chaat%20On%20Wheels	https://www.swiggy.com/search?query=Chaat%20On%20Wheels	5	6
Chai adda	area1	996R+X3G, Hydershakote Village Rd, Himgiry Nagar Colony Road, Shanthinagar Colony, Raghuram Nagar Colony, Hydershakote, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJ8YSvVgCXyzsRLPhjWVoi0FY	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Chai%20adda	https://www.swiggy.com/search?query=Chai%20adda	5	1
CHAI CLUB	area1	Gandamguda	https://www.google.com/maps/place/?q=place_id:ChIJbwwBrnqVyzsRT7aRyzJAyok	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=CHAI%20CLUB	https://www.swiggy.com/search?query=CHAI%20CLUB	4.9	10
Chai duniya	area1	997R+57G, Shanthi Nagar Colony, Shanthinagar Colony, Madhavi Nagar, Hydershakote, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJC570AQCXyzsR41JmxSxXr84	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Chai%20duniya	https://www.swiggy.com/search?query=Chai%20duniya		
Chatori chat	area1	996P+JQ2, Himagiri Nagar, West End Colony, Hydershakote, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJuXiTBmOXyzsRFR9lf82qeTw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Chatori%20chat	https://www.swiggy.com/search?query=Chatori%20chat	4.7	13
deccan dum and pulao cloud kitchen	area1	plot.30, Road Number 4, West End Colony, Gandamguda	https://www.google.com/maps/place/?q=place_id:ChIJlcioL5WXyzsRIzy5KHnFcJw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=deccan%20dum%20and%20pulao%20cloud%20kitchen	https://www.swiggy.com/search?query=deccan%20dum%20and%20pulao%20cloud%20kitchen	5	13
DETOX CORNER (salads and juices)	area1	2 - 125, Lane, 4, Himgiry Nagar Colony Road, Gandamguda	https://www.google.com/maps/place/?q=place_id:ChIJ31K5OACXyzsROv61ccRkybc	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=DETOX%20CORNER%20%28salads%20and%20juices%29	https://www.swiggy.com/search?query=DETOX%20CORNER%20%28salads%20and%20juices%29	4.9	27
District 13 A Chinese Wok Street	area1	Sri Subrahmanya swamy residency, 3-9/6, Kapila Nagar, Hydershakote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ-611DNaXyzsRPBdqjRAp0C4	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=District%2013%20A%20Chinese%20Wok%20Street	https://www.swiggy.com/search?query=District%2013%20A%20Chinese%20Wok%20Street	5	98
Divana Restaurant Swad	area1	Madhavi Nagar, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ6f5qCxmXyzsRUuFl41syWNo	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Divana%20Restaurant%20Swad	https://www.swiggy.com/search?query=Divana%20Restaurant%20Swad	4	4
Dragon bites	area1	2-95,Shop No.6,Westend Colony ,Opposiste ;Hp Petrol Pump, Gandhamguda, Himagiri Nagar, Westend Colony, Rajendranagar, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJuRyEOACXyzsRY4ubmneP2cY	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Dragon%20bites	https://www.swiggy.com/search?query=Dragon%20bites	2.8	4
Dragon delight	area1	999X+CF6, Hydershakote Village Road, Laxmi Nagar Colony, Bhagya Nagar Colony, Hydershakote	https://www.google.com/maps/place/?q=place_id:ChIJacaqTwCXyzsR6sRbiv7Fq-I	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Dragon%20delight	https://www.swiggy.com/search?query=Dragon%20delight	5	1
Durga bhavani food zone	area1	996Q+QRV, Himagiri Nagar, Shanthinagar Colony, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJberq_HKXyzsRklrTCmIg39A	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Durga%20bhavani%20food%20zone	https://www.swiggy.com/search?query=Durga%20bhavani%20food%20zone	3.4	16
Farsi Flame	area1	8-54/42, Sai Harsha Nagar, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJgz0MRkyXyzsR-gZkKxnnQHA	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Farsi%20Flame	https://www.swiggy.com/search?query=Farsi%20Flame	5	1
Femous Chicken Market	area1	Unnamed Road, Ramdev Guda, Ibrahim Bagh, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJK4RETH2WyzsRee4-YFY9YvU	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Femous%20Chicken%20Market	https://www.swiggy.com/search?query=Femous%20Chicken%20Market	4.6	16
Foodskillet	area1	Thothingal Palace, 302, West End Colony, Gandamguda	https://www.google.com/maps/place/?q=place_id:ChIJm1TtuBmXyzsRLd_jCBK1PmM	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Foodskillet	https://www.swiggy.com/search?query=Foodskillet		
Friends Restaurant	area1	shop no -1,2,3, Tea Time, near kkr ground, Gandamguda	https://www.google.com/maps/place/?q=place_id:ChIJD5gFUguXyzsRQny3T2St3jQ	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Friends%20Restaurant	https://www.swiggy.com/search?query=Friends%20Restaurant	3.5	2
Fussion Food court	area1	2/3A, 8, Kapila Nagar Colony, Hydershakote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJqSJLYACXyzsRurZxoIrKvbo	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Fussion%20Food%20court	https://www.swiggy.com/search?query=Fussion%20Food%20court	4.5	29
