# SWEETS inside My Map circle (area1–area5)
# total=111
# columns: name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
# delivery_apps: known chains / meal_delivery / review heuristics; always verify via zomato_search & swiggy_search

name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
AGRA SWEET HOUSE	area1	22-1, Gandhamguda Road, Sogbowli	https://www.google.com/maps/place/?q=place_id:ChIJ11j_KbKXyzsRtVMdrUTJV40	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=AGRA%20SWEET%20HOUSE	https://www.swiggy.com/search?query=AGRA%20SWEET%20HOUSE	4.1	14
BALAJI GANESH SWEET HOUSE	area1	99JJ+9M2, Ibrahim Bagh Road, Ibrahim Bagh, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJhyy5KyqUyzsRoLl--q5-2cg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=BALAJI%20GANESH%20SWEET%20HOUSE	https://www.swiggy.com/search?query=BALAJI%20GANESH%20SWEET%20HOUSE		
Balaji Ganesh Sweet Hpuse	area1	Ramdevguda, Ramdev Guda, Ibrahim Bagh, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ57SU58CXyzsR3OC35RqUOHI	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Balaji%20Ganesh%20Sweet%20Hpuse	https://www.swiggy.com/search?query=Balaji%20Ganesh%20Sweet%20Hpuse		
Balaji Radhashyam Sweet Shop	area1	Hydershakot Suncity	https://www.google.com/maps/place/?q=place_id:ChIJARfeDw-XyzsR5WWKgrdrOZQ	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Balaji%20Radhashyam%20Sweet%20Shop	https://www.swiggy.com/search?query=Balaji%20Radhashyam%20Sweet%20Shop		
Balaji Radheshyam Sweet House	area1	Bhagya Nagar Colony, Hydershakote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJNzjdXXqWyzsRBCDihmXOBXM	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Balaji%20Radheshyam%20Sweet%20House	https://www.swiggy.com/search?query=Balaji%20Radheshyam%20Sweet%20House	3.6	8
Cozy Confection	area1	E 510, PBEL City Road, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ9_iLwxKVyzsRaokGytncprw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Cozy%20Confection	https://www.swiggy.com/search?query=Cozy%20Confection	5	1
Gourmet Ice Cream Cakes By Baskin Robbins	area1	Plot 2A, Laxmi Nagar, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ_UEPVLGTyzsRIeUCLU8u198	Likely on Zomato+Swiggy (known chain)	https://www.zomato.com/hyderabad/restaurants?q=Gourmet%20Ice%20Cream%20Cakes%20By%20Baskin%20Robbins	https://www.swiggy.com/search?query=Gourmet%20Ice%20Cream%20Cakes%20By%20Baskin%20Robbins	4.7	3
Heritege Ice Cream Rohit	area1	9-5-42, Ibrahim Bagh Road, Ibrahim Bagh, Kokapet	https://www.google.com/maps/place/?q=place_id:ChIJy95IOIWVyzsRUQ9eDWowid4	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Heritege%20Ice%20Cream%20Rohit	https://www.swiggy.com/search?query=Heritege%20Ice%20Cream%20Rohit	5	1
JWALA VISHNU SWEETS	area1	Hydershakote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJnYnh2HaWyzsRB4ktF3PqFpo	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=JWALA%20VISHNU%20SWEETS	https://www.swiggy.com/search?query=JWALA%20VISHNU%20SWEETS	4.6	5
Mahalakshmi sweets chat	area1	Plot no.5,, Himagiri nagar, Ghandhamguda, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJdz6dKHeWyzsRX1qaPCHbwiE	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=Mahalakshmi%20sweets%20chat	https://www.swiggy.com/search?query=Mahalakshmi%20sweets%20chat	3.7	38
MAHAVEER FALUDA AND ICE CREAM MADHA LAL	area1	Osman Nagar, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJm_naI4mXyzsRHYj3Rg-5qP0	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=MAHAVEER%20FALUDA%20AND%20ICE%20CREAM%20MADHA%20LAL	https://www.swiggy.com/search?query=MAHAVEER%20FALUDA%20AND%20ICE%20CREAM%20MADHA%20LAL		
Mansi’s sweet home	area1	Shiva Sai Nagar, 27-196/a, Bairagiguda Road, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJ_3NkKwCVyzsRzYItLTeFOM4	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Mansi%E2%80%99s%20sweet%20home	https://www.swiggy.com/search?query=Mansi%E2%80%99s%20sweet%20home		
AL - Rahman Shawarma & Ice Cream Parlour	area2	2-6-5/181, Rajendra Nagar Road, Happy Homes Colony, Upperpally	https://www.google.com/maps/place/?q=place_id:ChIJD86HIvuXyzsRM1RunUI6N-M	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=AL%20-%20Rahman%20Shawarma%20%26%20Ice%20Cream%20Parlour	https://www.swiggy.com/search?query=AL%20-%20Rahman%20Shawarma%20%26%20Ice%20Cream%20Parlour	4.6	30
BALAJI UTTAM BAKERY&SWEET	area2	8-4-64/1, Kismatpur	https://www.google.com/maps/place/?q=place_id:ChIJoRfl7miXyzsRmQHWt3_KWRk	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=BALAJI%20UTTAM%20BAKERY%26SWEET	https://www.swiggy.com/search?query=BALAJI%20UTTAM%20BAKERY%26SWEET	4.1	9
CHILKUR BALAJI MITHAI WALA	area2	Bansilal Nagar, Budwel, Hyderabad, Telangana 500030, India	https://www.google.com/maps/place/?q=place_id:ChIJD2fExv6XyzsRrM77o7j4o6I	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=CHILKUR%20BALAJI%20MITHAI%20WALA	https://www.swiggy.com/search?query=CHILKUR%20BALAJI%20MITHAI%20WALA	4.2	189
G.M SWEET & SHAWARMA	area2	995X+6VX, Mapletown Road, Padmasri Estates, Hyder Shah Kote, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJKVU5PWyWyzsR7TfEYZkp7xY	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=G.M%20SWEET%20%26%20SHAWARMA	https://www.swiggy.com/search?query=G.M%20SWEET%20%26%20SHAWARMA	5	1
Krishna Mithai Vatika	area2	2-123, Abhyudaya Nagar, Prashant Nagar Colony, Bandlaguda Jagir, Telangana 500086, India	https://www.google.com/maps/place/?q=place_id:ChIJ-RmgVciXyzsR5mpeoB8vFBI	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=Krishna%20Mithai%20Vatika	https://www.swiggy.com/search?query=Krishna%20Mithai%20Vatika	3.9	723
Marhaba sweets & bakery	area2	6-2-605, NEW-6-2-605, Suncity Road, Sun City, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJwyOULACXyzsRqsZS0qjVWJ4	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Marhaba%20sweets%20%26%20bakery	https://www.swiggy.com/search?query=Marhaba%20sweets%20%26%20bakery	5	3
