# TIFFINS inside My Map circle (area1–area5)
# total=268
# columns: name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
# delivery_apps: known chains / meal_delivery / review heuristics; always verify via zomato_search & swiggy_search

name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
ARATH TIFFIN CENTER	area1	India	https://www.google.com/maps/place/?q=place_id:ChIJUZk-mHuWyzsRE9BzrgYQhZA	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=ARATH%20TIFFIN%20CENTER	https://www.swiggy.com/search?query=ARATH%20TIFFIN%20CENTER		
Ayyappa Tiffin Center	area1	Baimguda, Vidhyanager Colony, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJUf6g3dWVyzsRweposeWvRuc	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Ayyappa%20Tiffin%20Center	https://www.swiggy.com/search?query=Ayyappa%20Tiffin%20Center	4.6	5
BALAJI TIFFINS & SNACKS	area1	India	https://www.google.com/maps/place/?q=place_id:ChIJHXitDtiVyzsRyakqlC3VZzk	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=BALAJI%20TIFFINS%20%26%20SNACKS	https://www.swiggy.com/search?query=BALAJI%20TIFFINS%20%26%20SNACKS		
Bharti Tiffin Centre	area1	India	https://www.google.com/maps/place/?q=place_id:ChIJaby2znuWyzsR24j_XcxmqAA	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Bharti%20Tiffin%20Centre	https://www.swiggy.com/search?query=Bharti%20Tiffin%20Centre	5	1
Hotel surabhi Udupi veg	area1	TVR CENTRAL, beside vijetha super market, Hydershakote Village Road, Sun City, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJJzPmXwCXyzsRpiTT9vR7p94	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=Hotel%20surabhi%20Udupi%20veg	https://www.swiggy.com/search?query=Hotel%20surabhi%20Udupi%20veg	3.1	128
IQ TIFFINS AND BIRYANI	area1	1A, Kapila Nagar, Hydershakote	https://www.google.com/maps/place/?q=place_id:ChIJV3iqtNGXyzsRTqDCMqsp5m4	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=IQ%20TIFFINS%20AND%20BIRYANI	https://www.swiggy.com/search?query=IQ%20TIFFINS%20AND%20BIRYANI	4.7	3
Jai Jagadamba Jai Sevalal Tiffin Centre	area1	sai Ram Enclave, Hydershakote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJOYE7yWSWyzsRdZQVFRKBns4	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Jai%20Jagadamba%20Jai%20Sevalal%20Tiffin%20Centre	https://www.swiggy.com/search?query=Jai%20Jagadamba%20Jai%20Sevalal%20Tiffin%20Centre	3.4	5
Kamal Tiffin Center	area1	998V+X32, Hydershakote Village Road, Laxmi Nagar Colony, Madhavi Nagar, Hydershakote	https://www.google.com/maps/place/?q=place_id:ChIJR535qnuWyzsRmYuTOKol5Fg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Kamal%20Tiffin%20Center	https://www.swiggy.com/search?query=Kamal%20Tiffin%20Center		
KSG TIFFINS	area1	99CF+3QW, Bairagiguda Road, Sai Valmiki Nagar, Bairagiguda	https://www.google.com/maps/place/?q=place_id:ChIJ4SiKPtKVyzsRxPeQYBmb9xI	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=KSG%20TIFFINS	https://www.swiggy.com/search?query=KSG%20TIFFINS		
MATOSHREE TIFFINS	area1	Sun City, Hyderabad, Bandlaguda Jagir, Telangana 500091, India	https://www.google.com/maps/place/?q=place_id:ChIJXXMS9QmXyzsREyW3uGH56WQ	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=MATOSHREE%20TIFFINS	https://www.swiggy.com/search?query=MATOSHREE%20TIFFINS	4.9	24
RS JAI BHAWANI TIFFIN CENTER	area1	999V+CMM, near Kendriya Vihaar Phase 3, Kapila Nagar Colony, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ8Ub8pb2XyzsR8CbXNvhaAMg	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=RS%20JAI%20BHAWANI%20TIFFIN%20CENTER	https://www.swiggy.com/search?query=RS%20JAI%20BHAWANI%20TIFFIN%20CENTER	4.2	32
SHIVA SAI TIFFIN CENTER	area1	Peeramcheru	https://www.google.com/maps/place/?q=place_id:ChIJeb6GN52VyzsRSdGIU3iInzg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=SHIVA%20SAI%20TIFFIN%20CENTER	https://www.swiggy.com/search?query=SHIVA%20SAI%20TIFFIN%20CENTER	3	3
SHREE ANNAPURNA TIFFINS	area1	999R+522, Madhavi Nagar Main Road, Madhavi Nagar, Hydershakote	https://www.google.com/maps/place/?q=place_id:ChIJM21A2HuWyzsRBcsa_9omKwc	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=SHREE%20ANNAPURNA%20TIFFINS	https://www.swiggy.com/search?query=SHREE%20ANNAPURNA%20TIFFINS		
Shree Balaji Tiffin Center	area1	Shop no. 1, Santosh hitech residency, Himagiri nagar colony, Bandlsguda cross road, Himagiri Nagar, Hydershakote	https://www.google.com/maps/place/?q=place_id:ChIJeXFH2XaWyzsR_b6NG8Mo-Ck	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=Shree%20Balaji%20Tiffin%20Center	https://www.swiggy.com/search?query=Shree%20Balaji%20Tiffin%20Center	3.8	97
SREE LAKSHMI NARASIMHA TIFFINS	area1	Shankarpalli - Hyderabad Road, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJqWFrnwCXyzsRuB_ywLeiPzo	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=SREE%20LAKSHMI%20NARASIMHA%20TIFFINS	https://www.swiggy.com/search?query=SREE%20LAKSHMI%20NARASIMHA%20TIFFINS		
SRI MALLIKARJUNA SWAMY TIFFIN CENTER	area1	Ibrahim Bagh, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJp3KnfkuVyzsR6-pqiv4PASE	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=SRI%20MALLIKARJUNA%20SWAMY%20TIFFIN%20CENTER	https://www.swiggy.com/search?query=SRI%20MALLIKARJUNA%20SWAMY%20TIFFIN%20CENTER		
Sri Maruti Tiffins	area1	99CF+3QW, Bairamalguda	https://www.google.com/maps/place/?q=place_id:ChIJP8X1EgCVyzsRl3yL37jlO1U	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Sri%20Maruti%20Tiffins	https://www.swiggy.com/search?query=Sri%20Maruti%20Tiffins	5	2
SRI SAI GANESH TIFFINS & SNACKS	area1	India	https://www.google.com/maps/place/?q=place_id:ChIJxcYhDniWyzsRIuk1Ldxy5fU	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=SRI%20SAI%20GANESH%20TIFFINS%20%26%20SNACKS	https://www.swiggy.com/search?query=SRI%20SAI%20GANESH%20TIFFINS%20%26%20SNACKS		
Sri Venkateshwara Reddy Brother's Tiffins, Fast Food	area1	99JJ+3JF, Ibrahim Bagh Road, Ibrahim Bagh, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJI5WoMyqUyzsRROqYl7GJ7dk	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Sri%20Venkateshwara%20Reddy%20Brother%27s%20Tiffins%2C%20Fast%20Food	https://www.swiggy.com/search?query=Sri%20Venkateshwara%20Reddy%20Brother%27s%20Tiffins%2C%20Fast%20Food		
Testy Tiffin Center	area1	994C+H8P, PBEL City Road, Snehita Hills, Peeramcheru	https://www.google.com/maps/place/?q=place_id:ChIJSzqzdFOVyzsRobCSbux_AGs	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Testy%20Tiffin%20Center	https://www.swiggy.com/search?query=Testy%20Tiffin%20Center	5	6
venkateshwarlu tiffin centre	area1	9959+3R4, PBEL City Road, JNNURM Colony, Peeramcheru	https://www.google.com/maps/place/?q=place_id:ChIJ3wgATgCVyzsRCcgolrj8ye0	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=venkateshwarlu%20tiffin%20centre	https://www.swiggy.com/search?query=venkateshwarlu%20tiffin%20centre	5	1
Ali Delicious Tiffins	area2	Narsa Reddy Colony, Hyder Shah Kote, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJJxHSBQCXyzsR24lv-bkFDoc	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Ali%20Delicious%20Tiffins	https://www.swiggy.com/search?query=Ali%20Delicious%20Tiffins	4	3
Amma Mess & Curry Point	area2	17, Kismatpur Road, Abhyudaya Nagar, Prashant Nagar Colony, Bandlaguda Jagir, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJ05f_UwuWyzsRQiv_AjTCRno	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Amma%20Mess%20%26%20Curry%20Point	https://www.swiggy.com/search?query=Amma%20Mess%20%26%20Curry%20Point		
ASREE MATHA TIFFINS & SNACKS	area2	India	https://www.google.com/maps/place/?q=place_id:ChIJP4qroOKVyzsRBf8dPV1w4NU	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=ASREE%20MATHA%20TIFFINS%20%26%20SNACKS	https://www.swiggy.com/search?query=ASREE%20MATHA%20TIFFINS%20%26%20SNACKS		
